Attraction	Review Title	Review	Annotation
Sydney Lyric Theatre	What a show	Such a good show, it's very well put together from the story of the film I remember from years ago. From the moment you go into the theatre you are met with the seats and auditorium that are decorated into theme. The happy party feeling of the show seemed to rub off on all the viewers. The show itself was full of great performances, wonderful singing and costumes. We all really enjoyed and so glad to have taken it in while in Sydney.	Cultural
Sydney Lyric Theatre	strictly ballroom	Such a good show, it's very well put together from the story of the film I remember from years ago. From the moment you go into the theatre you are met with the seats and auditorium that are decorated into theme. The happy party feeling of the show seemed to rub off on all the viewers. The show itself was full of great performances, wonderful singing and costumes. We all really enjoyed and so glad to have taken it in while in Sydney.	Fun
Spit Bridge to Manly Walk	Highly recommend	This is a fabulous walk, I loved every minute of it and the scenery is amazing.I caught the ferry into Manly and visited the Hello Manly visitor centre to get some information and the girls there suggested that I do the Manly to Spit or Spit to Manly walk.I caught the bus to Spit bridge (so I could end the walk in Manly) and began the walk. I swam at little beaches along the way and had an amazing time...the people on the walk were so friendly.Love love love	Fun
Spit Bridge to Manly Walk	Spectacular Views	The harbour is accessible to all and nowhere is it more so than on this walk. Pass the boats moored at the spit, stroll through suburbia and then through light bush until you're looking out across the heads. Its even more spectacular when the weather changes - if you're brave! Don't forget your camera.	Adventurous
Spit Bridge to Manly Walk	A pleasant walk with good harbour views	If you enjoy bush walking, the Spit to Manly walk is a good option when in the Sydney area and affords excellent views of the Harbour, City, and Manly. It follows the coast line from the Spit Bridge through bushland, and round a number of bays and inlets. Around 2 hours (assuming you aren't stopping too frequently). If travelling from the the city, a bus to the Spit, and the ferry back from Manly is what I'd recommend.	Adventurous
Spit Bridge to Manly Walk	Worth the effort	We started at the Spit bridge and walked to Manly. Fantastic views of the natural beauty of the harbour, especially the Manly side. A long walk, with many steps, some quite steep. Some stepped areas currently under upgrade. The walk is teasing, as although Manly ferry area is in sight, the path goes well away as it follows the bay. It took us about 3 hours,as an older couple,but if you want to stop and look at all the side paths on the way, allow much longer. Make sure you walk it with enough light to finish, and when cooler but not wet, as it could be difficult on some of the steeply stepped areas. Manly is a great place to visit, with lots of places to eat after the effort.	Adventurous
Spit Bridge to Manly Walk	Beautiful escape from town	My friend and I enjoyed this little hike, lots of uphill and downhill but you can take it at your own pace. Beautiful views across Manly. Made me feel like I was on holiday - which I was	Adventurous
Queen Victoria Building	Beautifully restored old building full of upmarket shops	The Queen Victoria building is a Beautifully restored old building full of upmarket shops. It's definitely worth a look for visitors to Sydney	Cultural
Queen Victoria Building	Beautiful Architecture	Head over to QVB and check out the stunning interior - and not to mention the shops! Head downstairs for the bargains and street wear and upstairs if you want to splurge! It is also amazing at Christmas time, with an enormous tree filling the center atrium.	Cultural
Queen Victoria Building	Very comprehensive, a wide range of shops	Nice building and design, a good selection of shops and food. A pleasure to visit	Hungry
Queen Victoria Building	the beauty in Sydney	To think they were going to knock it down! It is one of the greatest late nineteenth-century buildings left in Aus and has been beautifully restored. A collection of who's who in fashion retail outlets. Don't miss a breakfast in the cafe on the ground floor. There's a reason it's normally busy.	Historical
Queen Victoria Building	Great shopping	Amazing looking 4 story shopping mall located in close proximity to everything. The architecture of the building is amazing. Heaps of shops including Victorias secret and Zumbo macaroons. The bottom floor is very busy especially is peak hour times, the bottom floor is connected to the City rail lines. Best shopping and a must do when in Sydney.	Cultural
Palm Beach	Paradise	There is no better place a clear Summers day. The walk to Barrenjoey Lighthouse is an added attraction followed by a lovely lunch at the golfclub. Ideal Sunday activity, just be early so you can park!!	Adventurous
Palm Beach	Clean and beautiful beach	Palm Beach is an approximate 2.5 hours drive from the Sydney city centre. The beach stretches on for quite a distance and we loved that it wasn't crowded like other beaches. We walked from Palm Beach to the Barrenjoey Lighthouse, which wasn't an easy walk in the soft sand when your feet sinks in and sets you back by half a step! But that's how soft the sand is! The view at the top of the Barrenjoey climb was very rewarding and breathtaking, a panorama of the Broken Bay and Palm Beach. Easily one of the most beautiful beaches I've been to.	Adventurous
Palm Beach	Not far away but a different world	I live in Manly and I love it to travel to Palm Beach with friends just for a relaxed beach day with a nice barbecue on the evening. The drive is not so bad but the beach is really nice and not so crowded like other beaches along the coast from Sydney. Always worth the drive.	Lazy
Palm Beach	Beautiful	I can honestly say I have never seen a beach so clean with sand so soft. It was a pleasure to view and walk along it. Whoever maintains this should be very proud. No visitors should be disappointed with the scenery...absolutely beautiful	Natural
Palm Beach	Relax	An amazing and beautiful place. Just love it. I wanna go back there again. A good place to get in touch with nature	Natural
Cronulla Beach	Great walk while you soak in the atmosphere	Beautiful walk at your own pace. Follow the ocean from beach to beach. I sometimes take my little dog who seems to love the walk as much as I do. Break the walk ...enjoy a coffee...breathe in the fresh air...great place for photos.	Adventurous
Cronulla Beach	Great views but beware on weekends	I did this walk on a Saturday and the beginning of the walk was packed with people walking, jogging and cycling. Some joggers and cyclists are a bit pushy and some locals stop along the pathway to talk to friends - they block the pathway all together. After walking about 3 km the amount of people dropped off and I really enjoyed the walk. The weather was great, the views are great and there are water bubblers on the way to quench your thirst. It would probably be better to do it during the week when there are less people on the path.	Adventurous
Cronulla Beach	Easy walk in both directions	Easy walk in both directions. Pavement great for pedestrians, prams and wheelchairs. 1) Head south (about twenty steps) or for the disabled or elderly or prams follow the path behind the Surf club - for a gentle incline. Continue past "the point" see the board riders, past small secluded beaches, past "Shelly beach" free ocean swimming pool, past "Oak park" free ocean swimming pool, and end at "Matthew Flinders Point" - overlooking the river- with views to Bundeena. or 2) Head North, very level, around the bay from "Cronulla" beach, past two free ocean swimming pools, past "North Cronulla" beach, past "Elouera" beach, past "Wanda" beach. Here the pavement ends but you can continue on the beach past "Green Hills" and further for longer walk - if you have time. Walk from 10 minutes to 2 to 3 hours if you want. Note: No bikes and no roller skates on pavement. Come and take a walk here. Well worth the look.	Adventurous
Cronulla Beach	So nice and quiet	Cronulla Beach is a Sydney suburb, it has a great Esplanade, well maintained, with many parks and recreation areas along it, you can make pic nics, barbies or just go for a pleasant walk, you can also find natural salt water swimming pools all along, surfing is great, the boulevard offers supermarkets, butchery, breads, caffees, stores, gym, yoga studios, book stores, ice cream parlors, frozen yogurts, all kinds of restaurants, cinema... you name it!, you can get there by train or bus if you don't have a car. People are really friendly, at the very end of the Esplanade close to Wanda you can explore further more till you get to a gorgeous dune... Don't miss it	Natural
Cronulla Beach	Perfect	What a great place all round, the shopping is so close to the beach all the cafes are great the dining is awesome, just make sure you bring enough money.	Luxurious
Government House	Well worth a visit	The tour of this icon building is well worth it. The information of Sydney and Governor and her duties was amazing. Don't miss it, you won't be disappointed	Cultural
Government House	Free tour	This was a pleasant surprise of a tour. Run by volunteers they take you through the official residence of the Governor. Lots of history in the building and the guide was very interactive with our group and tried to be as inclusive as possible as many of us were non Australians. No pictures inside, but the grounds are nice to tour through afterwards.	Cultural
Government House	free, informative and relaxed	This tour lasts 45 mins and runs every hour from 10.30am on Thursday to Sunday unless there is a private function (check before you go). Our guide was a little self important but was very knowledgeable and spoke well. We were a group of about10 of mixed nationalities which made it even better.The condition of the building, decor and furniture was perfection as you would expect in a buiding used on a daily basis by theQueen's representative in NSW.The gardens also deserve an honourable mention.	Education
Government House	Nice little building	This was a nice little stop. Relaxed under some trees and looked out at the harbour to kill a little time. Nice relaxing few hours in sydney here	Lazy
Government House	Great free history lesson	I have been in Australian for eight years and probably learned more in the free tour at Government House about early Australian history and culture than in all my school years and natural curiosity combined! The house and its grounds are beautiful and quite unique to Australia. Our tour guide was very knowledgeable and able to answer all of the questions our tour had.	Education
Circular Quay	So much to do	Head down to Circular Quay and jump on a cruise, a jet boat ride, catch a movie, have a 5 star meal, a snack or a cocktail.	Luxurious
Circular Quay	The Best Spot in Sydney	Circular Quay is a place you'll definitely miss when you leave Sydney. It has a great view of the Opera House and the Sydney bridge and it's a fantastic place to have a lovely and enjoyable walk along Sydney harbour. Don't forget to get a ferry to Manly or any destination and enjoy a memorable trip with fantastic Sydney ferries.	Cultural
Circular Quay	Awesome view	I walked along George Street to reach Circular Quay and it was really worth the 2km walk. At Circular Quay, you will be able to view the awesome view of Sydney Habour Bridge and Opera House. This place is a great place to take photos!	Cultural
Circular Quay	Must feel spot	People, river, vessels, vehicles, ... Everyone, everything is alive. Once U were in Sydney, u can't miss it. I will go back there in a couple of days. Yes i am going to taking a cruise ship, because here i am in Sydney and want to feel the air of Sydney harbor itself.	Social
Circular Quay	Heart of Sydney	Great scenery to walk around the harbour, heaps of restaurants in the lead up to walking around to the opera house. Circular Quay is the main port for all the cruise ships and ferries. Short distance from the city and easily accessible by the efficient train service.	Hungry
Australian National Maritime Museum	The sub is worth the visit	This place is really cool. I am not a fan of maritime museum but it is very well done and the visit of the sub at the end is definitely worth the price paid I would definitely recommend having a look around if you have a couple of hours to spare	Historical
Australian National Maritime Museum	Brilliant  	We thoroughly enjoyed our day here, but the highlight was the submarine. The youngest kids loved the replica Endeavour too, but I found downstairs too claustrophobic so exited that part of the tour as quickly as possible. We would definitely visit again next trip to Sydney. Fantastic photographs.	Historical
Australian National Maritime Museum	Interesting  	Despite visiting Sydney many times over the years, we had never been to the Maritime Museum. I found it more interesting, informative & historic than I would have thought. We had guided tours given by volunteers of a submarine & other ships, including a working replica of Captain Cook’s Endeavour.Thankfully, I had worn pants instead of a skirt & flat shoes on the day as we had to clamber up several steep ladders. Also, large bags or backpacks would be a hindrance due to the cramped areas & corridors & protruding ‘bits’ but there are storage lockers provided at the Museum entrance.I suggest doing the outside vessels first before the museum as it works out better time-wise & I think the ships may close off before the museum. There are heaps of exhibits & information inside the museum about the personal journeys of immigrants, world wars, aboriginal & Torres Strait islanders, Australian Navy & all things nautical.I would think that children would also enjoy the visit, although perhaps not the ships for the littlies.	Education
Australian National Maritime Museum	Pleasant surprise	We had not planned to do the Maritime and did so only at the instance of our four year old who had spied the battle ship and wanted to tour it. The museum is amazing! You can tour multiple ships including the jaw-dropping replica of Captain Cook's ship. We were there over school holiday and there was a 'circus' going on that turned out to be very well put on, a ton of laughs and a lot of educational content slipped in that has stuck with the kids.	Historical
Australian National Maritime Museum	Fun  	Kids had a blast watching the live show, climbing the boats and submarine. Recommend this for school holiday activity.	Social
Newtown	Great for vegos/vegans and restaurants	a very eclectic crowd - newtown is abundant in restaurants and bars. There is also a great vintage clothing scene and little kitschy shops.	Hungry
Newtown	LOVE!!!!	Love this area. Stayed here during my first trip to Syd. Most my days were taken by work commitments. This area was great to walk around in the evening. So many great cafes and places to eat. Fantastic clothes shops also. I would definitely stay in Newtown whenever I visit Sydney again. And only couple train stops from the city	Hungry
Newtown	Dining	Was in Newtown, Sydney recently and dined at Yenikoy Cafe & Restaurant. Food and service absolutely great. I highly recommend a visit.	Hungry
Newtown	See a different side to Sydney	Head to Newtown and enjoy the Thai food, shopping, coffee, bars and people watching! Student, bohemian, trendy crowd.	Hungry
